"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,23670.00,98.00,97.00,0.00,0.00,692.00,103.00,95.00,"Delta Air Lines Inc.","DL","ABE","ATL",6,"640",1,1992,3,9,2,"F",
0.00,1.00,36924.00,143.00,44.00,518.00,2.00,50.00,28.00,17.00,"US Airways Inc.","US","ABE","AVP",6,"655",1,1992,3,9,1,"F",
0.00,1.00,36560.00,147.00,99.00,600.00,0.00,67.00,34.00,19.00,"United Air Lines Inc.","UA","ABE","EWR",7,"715",1,1992,3,9,1,"F",
0.00,1.00,26500.00,103.00,4.00,0.00,0.00,784.00,121.00,112.00,"US Airways Inc.","US","ABE","JAX",6,"640",1,1992,3,9,2,"F",
0.00,1.00,25450.00,100.00,88.00,0.00,1718.00,82.00,73.00,36.00,"Northwest Airlines Inc.","NW","ABE","LGA",6,"640",1,1992,3,9,1,"F",
0.00,1.00,36560.00,147.00,97.00,0.00,1000.00,82.00,46.00,35.00,"United Air Lines Inc.","UA","ABE","LGA",7,"715",1,1992,3,9,1,"F",
0.00,1.00,23000.00,110.00,69.00,160.00,2354.00,82.00,44.00,34.00,"US Airways Inc.","US","ABE","LGA",6,"620",1,1992,3,9,1,"F",
0.00,1.00,25340.00,108.00,98.00,0.00,307.00,662.00,133.00,118.00,"United Air Lines Inc.","UA","ABE","MKE",7,"710",1,1992,3,9,2,"F",
0.00,1.00,26500.00,103.00,60.00,100.00,346.00,55.00,32.00,21.00,"US Airways Inc.","US","ABE","PHL",6,"640",1,1992,3,9,1,"F",
0.00,2.00,73910.00,296.00,251.00,566.00,1423.00,158.00,147.00,118.00,"Delta Air Lines Inc.","DL","ABI","DFW",7,"715",1,1992,3,9,1,"F",
0.00,1.00,37610.00,148.00,137.00,566.00,389.00,438.00,300.00,285.00,"Delta Air Lines Inc.","DL","ABQ","ABI",7,"715",1,1992,3,9,1,"F",
0.00,1.00,25340.00,108.00,76.00,0.00,1183.00,339.00,82.00,64.00,"United Air Lines Inc.","UA","ABQ","DEN",7,"710",1,1992,3,9,1,"F",
0.00,1.00,49000.00,188.00,79.00,0.00,169.00,677.00,109.00,96.00,"United Air Lines Inc.","UA","ABQ","LAX",6,"622",1,1992,3,9,2,"F",
0.00,1.00,23250.00,98.00,95.00,0.00,0.00,309.00,65.00,56.00,"US Airways Inc.","US","ACY","PIT",6,"603",1,1992,3,9,1,"F",
0.00,1.00,36924.00,141.00,69.00,0.00,0.00,309.00,131.00,77.00,"US Airways Inc.","US","ACY","PIT",6,"655",1,1992,3,9,1,"F",
0.00,1.00,32824.00,128.00,83.00,360.00,0.00,309.00,71.00,57.00,"US Airways Inc.","US","ACY","PIT",6,"619",1,1992,3,9,1,"F",
0.00,1.00,37638.00,146.00,95.00,0.00,0.00,309.00,66.00,51.00,"US Airways Inc.","US","ACY","PIT",6,"617",1,1992,3,9,1,"F",
0.00,3.00,105000.00,432.00,75.00,2792.00,83.00,252.00,154.00,135.00,"Markair Inc.","BF","ADQ","ANC",6,"617",1,1992,3,9,1,"F",
0.00,2.00,70000.00,228.00,53.00,1012.00,3475.00,252.00,106.00,88.00,"Markair Inc.","BF","ADQ","ANC",6,"619",1,1992,3,9,1,"F",
